Brand,Store_Count,City_Cover,Average_Price
MIXUE Ice Cream & Tea,46410,370,7
Goodme,13857,231,14
AUNTEA JENNY,11210,356,15
ChaPanda,8160,353,16
CHAGEE,7115,357,19
Tianlala,5869,318,9
书亦烧仙草,5429,291,13
ALittle Tea,4956,160,15
YH.TANG,4524,275,10
heytea,3815,307,29
Coco Tea,3177,193,14
NOYEYENOTEA,2678,311,15
MOLLYTEA,2313,265,17
柠季柠檬茶专门店,1888,207,16
LINLEE手打柠檬茶,1860,199,16
Happy Sweet Potato,1680,218,12
NAISNOW,1649,227,32
鲜啤福鹿家,1455,243,11
阿水大杯茶,1426,41,12
Idrink,1389,166,11
More Yogurt,1350,237,
冰淳茶饮,1139,139,7
煲金珠,1107,75,10
兵立王鲜果茶·奶茶,1092,52,12
MAKKEE,928,183,19
Morden China Tea Shop,912,39,17
暖燕·姨妈热饮·现炖燕窝,891,201,29
冰雪时光,839,131,7
一只酸奶牛,784,122,13
鄰里·手打柠檬茶,755,77,
煲珠公·老红糖珍珠奶茶,745,83,12
CHAHUANONG,733,157,17
茶主张,728,97,6
悸动,682,89,15
MeetFresh,662,141,28
梁小糖,660,32,9
700CC,643,53,15
SWEET7,625,74,24
茶海棠,621,193,14
欧亚品质生活馆,596,26,310
柚见鲜茶,596,121,9
冰语时间,592,167,6
永民手作,589,63,10
酸奶罐罐,554,172,16
巡蜜时光,551,62,8
蜜城之恋,547,50,8
鲜果时光,547,204,17
Chan Mandi,544,77,
新时沏奶茶·炸鸡,521,39,13
吕小哥,518,13,9
牧场能量,507,177,10
徐其修凉茶,496,38,11
LELECHA,476,86,28
More Cheers,469,23,16
CHARLIE's TEA,466,45,19
树夏,464,122,20
茶萃吧,450,52,12
大口九,434,73,9
森林子 · 果蔬茶,428,135,16
鸳央咖啡,424,1,
巡茶,420,31,17
制茶青年,410,43,16
避风塘,406,97,29
大C柠檬茶室,385,130,13
茶救星球·蔬果茶,383,48,14
东方墨蘭,383,72,15
爱啤士精酿啤酒,364,106,25
Liu Li Jing,364,30,10
正邦苏咔酸奶·鲜果茶,356,32,13
Yes Lemon就是柠·手打柠檬茶,351,39,18
陈多多·豆腐奶茶,343,35,11
洪都大拇指,336,12,13
Fruit Time,336,61,15
come wonka,335,18,17
KOI Thé,335,38,21
伟伟冰酒酿,323,35,8
百分茶,320,22,18
安姬酸奶·水果捞,320,64,19
瑞燕姨妈热饮,313,168,18
茶之都,299,39,11
柠檬向右,298,42,18
鄰里泰绿手打柠檬茶,295,26,13
春莱·老挝咖啡·泰式奶茶,289,107,15
遇苋烧仙草,285,106,14
满米酸奶,270,81,18
上官栗子四果汤,258,9,13
R&B TEA,251,22,17
郭记冰点,249,12,7
50岚,248,29,12
ARTEASG啊T·新加坡奶茶,246,77,17
茶巢,246,32,11
茶屿水果茶,244,36,12
风行牛奶,241,20,
轻茶里,238,48,12
花芝烧仙草,235,110,12
小狮同学,235,47,9
察理王子,234,17,13
九牛私家牧场,230,4,20
新加坡斯味洛·鲜奶茶,230,67,14
云沫茶汐,227,101,10
得益鲜活牛奶,221,19,8
觅果记拉丝酸奶·水果捞,220,94,17
Blueglass Yogurt,219,48,41
麦克风,218,52,8
阿秋拉尕酸奶,217,48,45
茶小仙,216,58,15
星食茶,212,31,9
尚品冰城,207,110,10
檬小7,204,12,7
大胡子冰可可,204,84,17
古方凉茶,204,21,
奶茶先生,200,19,10
K22.酸奶草莓,193,81,17
溪边姑娘·拉丝酸奶水果捞,192,97,15
阳光鲜奶,188,18,
茶西西,186,20,13
林香柠·柠檬茶,185,60,16
茶里屯,184,36,17
恬恬夏雪,184,32,9
朱大叔柠檬茶,183,17,15
艾雪皇后,179,81,16
莫沫南路,175,18,
七杯茶,171,63,12
珍珠妹,170,29,10
LuckHaHa好运椰,168,48,22
汴梁徐先生厚切炒酸奶,167,64,19
来一杯鲜果茶,165,36,13
一鸣真鲜奶吧,165,36,14
淡马茶坊,164,47,21
啊一柠檬茶,159,20,15
超级奶爸,158,41,13
美芝莲,158,58,
茶满满,157,18,10
